Date	Restaurant	App	Item	Cuisine	Type
14 Oct. 2020	Fujiya		Sushi	Japanese	Food
18 Oct. 2020	McDonald's		Breakfast	American	Food
18 Oct. 2020	Krispy Kreme		Other	American	Snack
20 Oct. 2020	Sushi Mura		Sushi	Japanese	Food
20 Oct. 2020	Saku	Uber Eats	Other	Japanese	Food
21 Oct. 2020	Tea 18		Boba	Taiwanese	Drink
24 Oct. 2020	L.A. Chicken		Other	American	Food
24 Oct. 2020	Happy Date Cafe		Other	Chinese	Food
25 Oct. 2020	MDGC		Breakfast	American	Food
26 Oct. 2020	McDonald's		Breakfast	American	Food
26 Oct. 2020	Chatime		Boba	Taiwanese	Drink
26 Oct. 2020	ZUBU Ramen	Uber Eats	Ramen	Japanese	Food
28 Oct. 2020	JAPADOG		Other	Japanese	Food
31 Oct. 2020	McDonald's		Breakfast	American	Food
1 Nov. 2020	MDGC		Breakfast	American	Food
3 Nov. 2020	Burrata Pizzeria	Uber Eats	Pizza	Italian	Food
4 Nov. 2020	Tea 18		Boba	Taiwanese	Drink
4 Nov. 2020	JAPADOG	Uber Eats	Other	Japanese	Food
5 Nov. 2020	Tea 18		Boba	Taiwanese	Drink
6 Nov. 2020	Wakwak Burger		Burgers	Japanese	Food
7 Nov. 2020	Jasmine Flower	Uber Eats	Other	Chinese	Food
8 Nov. 2020	MDGC		Breakfast	American	Food
9 Nov. 2020	Fujiya		Sushi	Japanese	Food
10 Nov. 2020	Hanok	Uber Eats	Other	Korean	Food
11 Nov. 2020	McDonald's		Burgers	American	Food
13 Nov. 2020	ASA Sushi	Uber Eats	Sushi	Japanese	Food
14 Nov. 2020	ASA Sushi	Uber Eats	Sushi	Japanese	Food
14 Nov. 2020	Sofra's Mediterranean Kitchen		Shawarma	Mediterranean	Food
15 Nov. 2020	Happy Date Cafe	Uber Eats		Chinese	Food
16 Nov. 2020	Sushi Mura		Sushi	Japanese	Food
19 Nov. 2020	JINYA Ramen	Door Dash	Ramen	Japanese	Food
19 Nov. 2020	Prata Man			Hainanese	Food
21 Nov. 2020	Ramen Danbo		Ramen	Japanese	Food
25 Nov. 2020	Tea 18		Boba	Taiwanese	Drink
28 Nov. 2020	Fujiya		Sushi	Japanese	Food
28 Nov. 2020	Kalvin's Szechuan Restaurant	Uber Eats		Chinese	Food
29 Nov. 2020	McDonald's		Breakfast	American	Food
1 Dec. 2020	BBT Cafe	Chowbus		Taiwanese	Food
2 Dec. 2020	Tea 18		Boba	Taiwanese	Drink
3 Dec. 2020	Sushi Mura		Sushi	Taiwanese	Food
5 Dec. 2020	Happy Date Cafe			Chinese	Food
